numeric_id,unique_id,original_id,display_name,type,category,disposition,target,authority,note
107,VXL_BLK_Magic_RitualAnchor,magic.ritual_anchor.basic,Ritual Anchor,block,Magic / Ritual,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Ritual Anchor,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
108,VXL_BLK_Magic_AncientPortalFrame,magic.portal_frame.ancient,Ancient Portal Frame,block,Magic / Portal,STRUCTURE / MIGRATION,archaeological or canonical portal-structure content,LOCKED FCC-12,Not a generic seventh portal material/family.
109,VXL_BLK_Magic_CorruptedGround,magic.corruption.ground,Corrupted Ground,block,Magic / Corruption,STATE / OVERLAY,actual ground material + corruption state/overlay,LOCKED FCC-12,Corruption is state-first.
110,VXL_BLK_Defence_RuneTrap,magic.trap.rune,Rune Trap,block,Defence / Magic Trap,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Rune Trap,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
111,VXL_BLK_Defence_SpellTurret,magic.turret.spell_basic,Spell Turret,block,Defence / Magic Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Spell Turret,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
112,VXL_BLK_Magic_EnchantmentPillar,magic.pillar.enchantment,Enchantment Pillar,block,Magic / Structure,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Enchantment Pillar,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
113,VXL_BLK_Magic_WardObelisk,magic.obelisk.ward,Ward Obelisk,block,Magic / Village Defence,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Ward Obelisk,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
114,VXL_BLK_Village_BlueprintMarker,village.blueprint_marker.basic,Blueprint Marker,block,Village / Construction,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Blueprint Marker,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
115,VXL_BLK_Village_ScaffoldBlock,village.scaffold.wood,Scaffold Block,block,Village / Construction,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Scaffold Block,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
116,VXL_BLK_Village_ConstructionSupplyCrate,village.supply_crate.construction,Construction Supply Crate,block,Village / Construction Storage,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Construction Supply Crate,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
117,VXL_BLK_Village_JobsiteMarker,village.job_marker.basic,Job-Site Marker,block,Village / NPC Logic,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Job-Site Marker,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
118,VXL_BLK_Village_RepairMarker,village.repair_marker.basic,Repair Marker,block,Village / Repair,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Repair Marker,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
119,VXL_BLK_Village_MarketStall,village.market_stall.basic,Market Stall,block,Village / Trade,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Market Stall,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
120,VXL_BLK_Defence_VillageAlarmBell,village.bell.alarm,Village Alarm Bell,block,Defence / Alert,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Village Alarm Bell,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
121,VXL_BLK_Village_VillageShrine,village.shrine.basic,Village Shrine,block,Village / Culture Magic,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Village Shrine,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
122,VXL_BLK_Defence_StoneDefensiveWall,defence.wall.stone,Stone Defensive Wall,block,Defence / Wall,PROVIDER/FORM REBIND,actual stone/provider + authored construction form,LOCKED FCC-12,Generic stone must resolve through actual material/provider semantics.
123,VXL_BLK_Defence_IronGate,defence.gate.iron,Iron Gate,block,Defence / Gate,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Iron Gate,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C."
124,VXL_BLK_Defence_WoodenBarricade,defence.barricade.wood,Wooden Barricade,block,Defence / Temporary,OBJECT/PROVIDER REBIND,timber material/provider + construction archetype,FCC-12 + PROJECT SYSTEM,Retain actual timber composition; exact object/archetype remains FCC-13B work.
125,VXL_BLK_Fluid_LavaMagma,hazard.lava.flowing,Lava / Magma,block,Fluid / Hazard,CLASS / WORLD REPRESENTATION,composition-aware molten-rock family/form,LOCKED FCC-12,Lava/Magma is not one realm-specific monolithic material.
126,VXL_BLK_Fluid_PoisonSludge,hazard.sludge.poison,Poison Sludge,block,Fluid / Hazard,FLUID MIXTURE — UNCONFIRMED,authored fluid mixture if later retained,POC ONLY,No current locked FCC-12 exact material target established.
127,VXL_BLK_Hazard_ThornVine,hazard.vine.thorn,Thorn Vine,block,Hazard / Plant,LIVING/NATURAL OBJECT — DEFER EXACT,species/plant object and harvested products as later bound,POC + ECOLOGY SYSTEM,Do not infer a new material identity from the world object.
128,VXL_BLK_Hazard_CursedGround,hazard.ground.cursed,Cursed Ground,block,Hazard / Magic,STATE/OVERLAY — UNCONFIRMED,actual ground + authored curse state/overlay if retained,POC ONLY + FCC-12 STATE RULE,Current locked material canon does not prove this exact hazard survives; must not become a new base ground material.
129,VXL_BLK_Terrain_Quicksand,hazard.quicksand.basic,Quicksand,block,Terrain / Hazard,TERRAIN STATE/MIXTURE REVIEW,sand/sediment + saturation/mechanical state,FCC-12 PRINCIPLE + POC,Likely state/mixture rather than new universal base material; exact simulation binding remains open.
130,VXL_BLK_Weather_SnowLayer,hazard.snow_layer,Snow Layer,block,Weather / Terrain,PHASE/FORM REVIEW,Water-derived frozen/snow world representation,FCC-12 PRINCIPLE + POC,"Phase/form semantics are expected, but exact world-object binding remains FCC-13B."
131,VXL_BLK_Fluid_ArcaneManaFluid,fluid.mana.arcane,Arcane Mana Fluid,block,Fluid / Magic,DEFER / UNCONFIRMED FLUID,none yet,POC ONLY,No current locked FCC-12 material identity supports automatic carry-forward.
132,VXL_BLK_Hazard_SteamVent,hazard.steam_vent.basic,Steam Vent,block,Hazard / Gas,WORLD FEATURE / PHASE RELATION,vent feature emitting Water vapour/steam or authored gas,FCC-12 PRINCIPLE + POC,"Vent is a world feature, not itself a material."
133,VXL_BLK_Dimension_Voidstone,realm.voidstone.basic,Voidstone,block,Dimension / Terrain,DEFER / MIGRATION-ONLY,future/deferred Void content,LOCKED FCC-12,Do not activate current playable Void material progression.
134,VXL_BLK_Dimension_CelestialStone,realm.celestial_stone.basic,Celestial Stone,block,Dimension / Terrain,MIGRATE CONTEXTUALLY,Cloudstone / Hymnstone / valid Ascendant state according to source context,LOCKED FCC-12,Obsolete generic Ascendant placeholder.
135,VXL_BLK_Dimension_FaeGrass,realm.fae_grass.basic,Fae Grass,block,Dimension / Terrain,MIGRATE CONTEXTUALLY,actual Verdant flora/terrain definition,LOCKED FCC-12,"Legacy flora/terrain label, not an exact material."
136,VXL_BLK_Dimension_DreamGlass,realm.dream_glass.basic,Dream Glass,block,Dimension / Construction,MIGRATE CONTEXTUALLY,Lucid Glass or documented Lucid Glass state/product,LOCKED FCC-12,Do not retain generic Dream Glass as a separate base material.
137,VXL_BLK_Dimension_InfernalBrick,realm.infernal_brick.basic,Infernal Brick,block,Dimension / Construction,MIGRATE,Ash Brick lineage,LOCKED FCC-12,Legacy Ashen construction term.
138,VXL_BLK_Dimension_DeepForgeStone,realm.deep_forge_stone.basic,Deep Forge Stone,block,Dimension / Stone,RETIRE / CONTEXTUAL MIGRATION,canonical Impossible Deep stone/form determined by source context,LOCKED FCC-12,Independent natural material family retired.
139,VXL_BLK_Dimension_BrokenPortalBlock,magic.portal.broken,Broken Portal Block,block,Dimension / Teaser,STATE / STRUCTURE PIECE,damaged/ruined state or piece of a canonical portal structure,LOCKED FCC-12,Not a standalone generic realm-access Block.
140,VXL_BLK_Dimension_UnstableRiftBlock,magic.rift.unstable,Unstable Rift Block,block,Dimension / Teaser,ANOMALY / INTERFACE,rift/anomaly/event content,LOCKED FCC-12,Not a normal material or generic portal Block.
141,VXL_BLK_Dimension_StrangeRealmOre,ore.dimension.unknown,Strange Realm Ore,block,Dimension / Resource,REJECT,none,LOCKED FCC-12,Generic dimensional filler material rejected.
142,VXL_ITM_RawResource_OakLog,item.resource.log_oak,Oak Log,item,Raw Resource / Wood,MERGE / SINGLE-DEFINITION,Oak timber/log object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Block 9. Final Block/inventory projections must not create duplicate underlying objects.
143,VXL_ITM_RawResource_Stick,item.resource.stick,Stick,item,Raw Resource / Plant,FORM / PROVIDER,compatible wood/plant material + stick form,FCC-12,Generic physical form; actual material should be preserved.
144,VXL_ITM_RawResource_PlantFibre,item.resource.plant_fibre,Plant Fibre,item,Raw Resource / Fibre,CATEGORY / PROVIDER,"exact botanical fibre, Mixed Plant Fibre, or fibre provider semantics",LOCKED FCC-12,Plant Fibre is not the universal identity of all botanical fibres.
145,VXL_ITM_ProcessedMaterial_ThatchBundle,item.resource.thatch_bundle,Thatch Bundle,item,Processed Material / Fibre,FORM/PRODUCT REBIND,valid fibre/plant provider + authored form/product,LOCKED FCC-12,Underlying fibre/material must remain explicit; do not use generic Plant Fibre as universal identity.
146,VXL_ITM_RawResource_StoneChunk,item.resource.stone_chunk,Stone Chunk,item,Raw Resource / Stone,GENERIC FORM / CONTEXTUAL,actual stone material + chunk form,LOCKED FCC-12,Must retain the source stone rather than become generic Stone matter.
147,VXL_ITM_RawResource_Flint,item.resource.flint,Flint,item,Raw Resource / Stone,MATERIAL/FORM REVIEW,Flint,POC EVIDENCE + FCC-12,"Resolve underlying canonical material, form and transformation explicitly before rebinding."
148,VXL_ITM_RawResource_ClayLump,item.resource.clay_lump,Clay Lump,item,Raw Resource / Clay,CLASS / FORM,specific clay material/profile + lump form,LOCKED FCC-12,Do not collapse all clay into one exact material.
149,VXL_ITM_RawResource_Sand,item.resource.sand,Sand,item,Raw Resource / Loose,CATEGORY / FORM,composition-bearing Sand class,LOCKED FCC-12,Exact underlying material follows composition.
150,VXL_ITM_RawResource_CoalChunk,item.resource.coal_chunk,Coal Chunk,item,Raw Resource / Fuel,FORM / REBIND,Coal + chunk form,CURRENT CANON,Coal is canonical fuel; chunk is form.
151,VXL_ITM_RawResource_RawCopperOre,item.resource.raw_copper_ore,Raw Copper Ore,item,Raw Resource / Ore,SOURCE / FEEDSTOCK,Copper-bearing ore/feedstock,LOCKED FCC-12,Ore is not refined Copper; grade/composition remain separate.
152,VXL_ITM_RefinedMaterial_CopperIngot,item.material.copper_ingot,Copper Ingot,item,Refined Material / Metal,FORM / REBIND CANONICAL,Copper + ingot form,LOCKED FCC-12,Copper is canonical/shared where equivalent; ingot is a physical/product form.
153,VXL_ITM_MachineMaterial_CopperWire,item.material.copper_wire,Copper Wire,item,Machine Material / Metal,FORM / REBIND CANONICAL,Copper + wire form,LOCKED FCC-12,Copper is canonical/shared where equivalent; wire is a physical/product form.
154,VXL_ITM_MachineMaterial_CopperPlate,item.material.copper_plate,Copper Plate,item,Machine Material / Metal,FORM / REBIND CANONICAL,Copper + plate form,LOCKED FCC-12,Copper is canonical/shared where equivalent; plate is a physical/product form.
155,VXL_MCH_MachineComponent_CopperGear,item.component.gear_copper,Copper Gear,item,Machine Component / Mechanical,COMPONENT REBIND,component object retaining actual source material,LOCKED FCC-12 + POC,Component is not a material family; exact component identity/recipe remains FCC-13C.
156,VXL_ITM_RawResource_RawIronOre,item.resource.raw_iron_ore,Raw Iron Ore,item,Raw Resource / Ore,SOURCE / FEEDSTOCK,Iron-bearing ore/feedstock,LOCKED FCC-12,Ore is not refined Iron; grade/composition remain separate.
157,VXL_ITM_RefinedMaterial_IronIngot,item.material.iron_ingot,Iron Ingot,item,Refined Material / Metal,FORM / REBIND CANONICAL,Iron + ingot form,LOCKED FCC-12,Iron is canonical/shared where equivalent; ingot is a physical/product form.
158,VXL_ITM_MachineMaterial_IronPlate,item.material.iron_plate,Iron Plate,item,Machine Material / Metal,FORM / REBIND CANONICAL,Iron + plate form,LOCKED FCC-12,Iron is canonical/shared where equivalent; plate is a physical/product form.
159,VXL_ITM_MachineMaterial_IronRod,item.material.iron_rod,Iron Rod,item,Machine Material / Metal,FORM / REBIND CANONICAL,Iron + rod form,LOCKED FCC-12,Iron is canonical/shared where equivalent; rod is a physical/product form.
160,VXL_ITM_ConstructionMaterial_IronNails,item.material.iron_nails,Iron Nails,item,Construction Material / Metal,FORM / REBIND CANONICAL,Iron + fastener/nails form,LOCKED FCC-12,Iron is canonical/shared where equivalent; fastener/nails is a physical/product form.
161,VXL_ITM_RawResource_RawManaCrystal,item.resource.raw_mana_crystal,Raw Mana Crystal,item,Raw Resource / Magic,REBIND CANONICAL,Raw Mana Crystal,LOCKED FCC-12,Canonical material.
162,VXL_ITM_MagicComponent_ManaShard,item.resource.mana_shard,Mana Shard,item,Magic Component / Crystal,FORM / PRODUCT,Raw Mana Crystal / canonical mana-crystal lineage + shard form,LOCKED FCC-12,"Derived form/product, not unrelated material."
163,VXL_ITM_MagicComponent_ManaDust,item.resource.mana_dust,Mana Dust,item,Magic Component / Powder,FORM / PRODUCT,Raw Mana Crystal / canonical mana-crystal lineage + dust form,LOCKED FCC-12,"Derived form/product, not unrelated material."
164,VXL_ITM_MagicComponent_BlankRuneStone,item.material.blank_rune_stone,Blank Rune Stone,item,Magic Component / Rune Base,DEFER / UNCONFIRMED,Blank Rune Stone,POC EVIDENCE,No automatic canonical carry-forward. Requires a later FCC-13 source/canon decision.
165,VXL_ITM_MagicComponent_BasicRune,item.magic.rune.basic,Basic Rune,item,Magic Component / Rune,DEFER / UNCONFIRMED,Basic Rune,POC EVIDENCE,No automatic canonical carry-forward. Requires a later FCC-13 source/canon decision.
166,VXL_ITM_MagicComponent_BasicWardCore,item.magic.core.ward_basic,Basic Ward Core,item,Magic Component / Ward,COMPONENT / DEFER EXACT,Basic Ward Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
167,VXL_ITM_ProcessedMaterial_OakPlank,item.material.plank_oak,Oak Plank,item,Processed Material / Wood,RELATIONSHIP CLUSTER / REBIND,Oak timber + plank form,FCC-12 + POC EVIDENCE,Related to Block 11; singular/plural legacy naming must not force duplicate semantics.
168,VXL_ITM_ConstructionMaterial_OakBeam,item.material.beam_oak,Oak Beam,item,Construction Material / Wood,MERGE / SINGLE-DEFINITION,Oak timber beam object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Block 33. Final Block/inventory projections must not create duplicate underlying objects.
169,VXL_ITM_ConstructionMaterial_Cobblestone,item.material.cobblestone,Cobblestone,item,Construction Material / Stone,MERGE / SINGLE-DEFINITION,stone-material cobble object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Block 32. Final Block/inventory projections must not create duplicate underlying objects.
170,VXL_ITM_ConstructionMaterial_StoneBrick,item.material.stone_brick,Stone Brick,item,Construction Material / Stone,MERGE / SINGLE-DEFINITION,stone-material masonry brick object,FCC-12 SINGLE-DEFINITION,Pairs with legacy Block 31. Final Block/inventory projections must not create duplicate underlying objects.
171,VXL_ITM_ProcessedMaterial_GlassPiece,item.material.glass_piece,Glass Piece,item,Processed Material / Glass,FORM / CONTEXTUAL,actual glass material + piece/shard form,LOCKED FCC-12,Ordinary or specialist glass identity must be retained.
172,VXL_ITM_Food_WildBerries,item.food.wild_berries,Wild Berries,item,Food / Ingredient,DEFER / CONTENT REVIEW,Wild Berries,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
173,VXL_ITM_Seed_WheatSeed,item.seed.wheat_basic,Wheat Seed,item,Seed / Crop,DEFER / UNCONFIRMED,Wheat Seed,POC EVIDENCE,No automatic canonical carry-forward. Requires a later FCC-13 source/canon decision.
174,VXL_ITM_Food_Wheat,item.crop.wheat,Wheat,item,Food / Crop,DEFER / CONTENT REVIEW,Wheat,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
175,VXL_ITM_Food_Bread,item.food.bread,Bread,item,Food / Meal,DEFER / CONTENT REVIEW,Bread,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
176,VXL_ITM_Food_RawMeat,item.food.raw_meat,Raw Meat,item,Food / Ingredient,DEFER / CONTENT REVIEW,Raw Meat,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
177,VXL_ITM_Food_CookedMeat,item.food.cooked_meat,Cooked Meat,item,Food / Meal,DEFER / CONTENT REVIEW,Cooked Meat,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
178,VXL_ITM_Food_SimpleStew,item.food.simple_stew,Simple Stew,item,Food / Meal,DEFER / CONTENT REVIEW,Simple Stew,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
179,VXL_ITM_Drink_WaterFlask,item.drink.water_flask,Water Flask,item,Drink / Utility,DEFER / CONTENT REVIEW,Water Flask,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
180,VXL_ITM_Tool_CrudePickaxe,item.tool.crude_pickaxe,Crude Pickaxe,item,Tool / Pickaxe,DEFER / TOOL REVIEW,Crude Pickaxe,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
181,VXL_ITM_Tool_CrudeAxe,item.tool.crude_axe,Crude Axe,item,Tool / Axe,DEFER / TOOL REVIEW,Crude Axe,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
182,VXL_ITM_Tool_StonePickaxe,item.tool.stone_pickaxe,Stone Pickaxe,item,Tool / Pickaxe,DEFER / TOOL REVIEW,Stone Pickaxe,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
183,VXL_ITM_Tool_StoneAxe,item.tool.stone_axe,Stone Axe,item,Tool / Axe,DEFER / TOOL REVIEW,Stone Axe,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
184,VXL_ITM_Tool_IronPickaxe,item.tool.iron_pickaxe,Iron Pickaxe,item,Tool / Pickaxe,DEFER / TOOL REVIEW,Iron Pickaxe,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
185,VXL_ITM_Tool_IronAxe,item.tool.iron_axe,Iron Axe,item,Tool / Axe,DEFER / TOOL REVIEW,Iron Axe,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
186,VXL_ITM_Tool_BasicHammer,item.tool.hammer_basic,Basic Hammer,item,Tool / Building,REBIND CANDIDATE,Hammer,PROJECT SYSTEM + POC,Hammer tool family is an established Leyforge special tool concept; exact 'Basic' row remains binding-stage work.
187,VXL_ITM_Tool_BasicWrench,item.tool.wrench_basic,Basic Wrench,item,Tool / Automation,REBIND CANDIDATE,Wrench,PROJECT SYSTEM + POC,Wrench tool family is an established Leyforge special tool concept.
188,VXL_ITM_Tool_BasicRuneTuner,item.tool.rune_tuner_basic,Basic Rune Tuner,item,Tool / Magic Automation,REBIND CANDIDATE,Rune Tuner,PROJECT SYSTEM + POC,Rune Tuner is an established Leyforge special tool concept.
189,VXL_ITM_Tool_RuneChisel,item.tool.rune_chisel,Rune Chisel,item,Tool / Magic Crafting,REBIND CANDIDATE,Rune Chisel,PROJECT SYSTEM + POC,Rune Chisel is an established Leyforge special tool concept.
190,VXL_ITM_Tool_BlueprintTool,item.tool.blueprint_tool,Blueprint Tool,item,Tool / Planning,DEFER / TOOL REVIEW,Blueprint Tool,POC EVIDENCE,Tool family may be valid; exact POC tool identity/progression remains FCC-13/other content work unless separately locked.
191,VXL_ITM_Weapon_IronSword,item.weapon.iron_sword,Iron Sword,item,Weapon / Melee,DEFER / EQUIPMENT REVIEW,Iron Sword,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
192,VXL_ITM_Weapon_WoodenBow,item.weapon.wooden_bow,Wooden Bow,item,Weapon / Ranged,DEFER / EQUIPMENT REVIEW,Wooden Bow,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
193,VXL_ITM_Ammo_ArrowBundle,item.ammo.arrow_bundle,Arrow Bundle,item,Ammo / Ranged,DEFER / EQUIPMENT REVIEW,Arrow Bundle,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
194,VXL_ITM_Weapon_ApprenticeStaff,item.weapon.apprentice_staff,Apprentice Staff,item,Weapon / Magic Focus,DEFER / EQUIPMENT REVIEW,Apprentice Staff,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
195,VXL_ITM_Equipment_WoodenShield,item.equipment.wooden_shield,Wooden Shield,item,Equipment / Shield,DEFER / EQUIPMENT REVIEW,Wooden Shield,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
196,VXL_ITM_Armour_LeatherTunic,item.armor.leather_tunic,Leather Tunic,item,Armour / Light,DEFER / EQUIPMENT REVIEW,Leather Tunic,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
197,VXL_ITM_Equipment_SmallBackpack,item.equipment.small_backpack,Small Backpack,item,Equipment / Carrying,DEFER / EQUIPMENT REVIEW,Small Backpack,POC EVIDENCE,"Equipment concept may fit Leyforge, but exact POC object is not proven by FCC-12 and must not be auto-promoted."
198,VXL_MCH_MachineComponent_WoodenMachineFrame,item.component.machine_frame_wood,Wooden Machine Frame,item,Machine Component / Frame,COMPONENT REBIND,component object retaining actual source material,LOCKED FCC-12 + POC,Component is not a material family; exact component identity/recipe remains FCC-13C.
199,VXL_MCH_MachineComponent_CopperMachineFrame,item.component.machine_frame_copper,Copper Machine Frame,item,Machine Component / Frame,COMPONENT REBIND,component object retaining actual source material,LOCKED FCC-12 + POC,Component is not a material family; exact component identity/recipe remains FCC-13C.
200,VXL_MCH_MachineComponent_BasicMachineCore,item.component.machine_core_basic,Basic Machine Core,item,Machine Component / Core,COMPONENT / DEFER EXACT,Basic Machine Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
201,VXL_MCH_MachineComponent_ItemChuteSegment,item.component.chute_segment,Item Chute Segment,item,Machine Component / Logistics,COMPONENT REBIND CANDIDATE,Item Chute Segment,PROJECT SYSTEM + POC,Component relationship is plausible for established logistics systems; exact canonical identity remains FCC-13C.
202,VXL_MCH_MachineComponent_IronMinerHead,item.component.miner_head_iron,Iron Miner Head,item,Machine Component / Mining,COMPONENT REBIND,component object retaining actual source material,LOCKED FCC-12 + POC,Component is not a material family; exact component identity/recipe remains FCC-13C.
203,VXL_MCH_MachineComponent_StoneFurnaceCore,item.component.furnace_core_stone,Stone Furnace Core,item,Machine Component / Processing,COMPONENT / DEFER EXACT,Stone Furnace Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
204,VXL_MCH_MachineComponent_ManaFurnaceCore,item.component.mana_furnace_core,Mana Furnace Core,item,Machine Component / Magic Processing,COMPONENT / DEFER EXACT,Mana Furnace Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
205,VXL_MCH_MagicComponent_WardLanternCore,item.component.ward_lantern_core,Ward Lantern Core,item,Magic Component / Defence,COMPONENT / DEFER EXACT,Ward Lantern Core,POC EVIDENCE,"Treat as a manufactured component, not material. Current sources do not by themselves prove the exact component survives unchanged."
206,VXL_ITM_Currency_CopperTradeCoin,item.economy.trade_coin_copper,Copper Trade Coin,item,Currency / Economy,DEFER / ECONOMY BINDING,Copper Trade Coin,FCC-01 ECONOMY + POC,Currency is not universally fixed; this POC row must not become universal money by inheritance.
207,VXL_ITM_Economy_VillageSupplyToken,item.economy.village_supply_token,Village Supply Token,item,Economy / Village,DEFER / ECONOMY BINDING,Village Supply Token,FCC-01 ECONOMY + POC,Currency is not universally fixed; this POC row must not become universal money by inheritance.
208,VXL_ITM_QuestItem_BuilderRequestSlip,item.quest.builder_request_slip,Builder Request Slip,item,Quest Item / Village,DEFER / CONTENT REVIEW,Builder Request Slip,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
209,VXL_ITM_QuestItem_WarehouseCrateManifest,item.quest.warehouse_manifest,Warehouse Crate Manifest,item,Quest Item / Logistics,DEFER / CONTENT REVIEW,Warehouse Crate Manifest,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
210,VXL_ITM_MonsterDrop_GoblinScrap,item.loot.goblin_scrap,Goblin Scrap,item,Monster Drop / Material,HOLD / PERSONHOOD-CATEGORY REVIEW,Goblin Scrap,FCC-01 PERSONHOOD + POC,Goblin is a sapient ancestry; legacy 'Monster Drop' categorisation must not imply generic monster/dehumanised loot semantics.
211,VXL_ITM_MonsterDrop_CrudeGoblinBlade,item.loot.crude_goblin_blade,Crude Goblin Blade,item,Monster Drop / Weapon,HOLD / PERSONHOOD-CATEGORY REVIEW,Crude Goblin Blade,FCC-01 PERSONHOOD + POC,Goblin is a sapient ancestry; legacy 'Monster Drop' categorisation must not imply generic monster/dehumanised loot semantics.
212,VXL_ITM_MonsterDrop_WeakMonsterEssence,item.loot.monster_essence_low,Weak Monster Essence,item,Monster Drop / Magic,DEFER / LOOT REVIEW,Weak Monster Essence,POC EVIDENCE,Exact drop/creature provenance is not established by FCC-12.
213,VXL_ITM_Knowledge_TornResearchPage,item.knowledge.torn_research_page,Torn Research Page,item,Knowledge / Research,DEFER / CONTENT REVIEW,Torn Research Page,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
214,VXL_ITM_Knowledge_BasicRuneNote,item.knowledge.basic_rune_note,Basic Rune Note,item,Knowledge / Recipe,DEFER / CONTENT REVIEW,Basic Rune Note,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
215,VXL_ITM_Knowledge_LocalMapFragment,item.knowledge.map_fragment_local,Local Map Fragment,item,Knowledge / Map,DEFER / CONTENT REVIEW,Local Map Fragment,POC EVIDENCE,No FCC-12 material decision makes this exact gameplay object canonical. Preserve as migration/content evidence for later FCC-13 binding.
