numeric_id,unique_id,original_id,display_name,type,category,disposition,target,authority,note,final_fcc13e_status,final_action
68,VXL_BLK_Furniture_SimpleBed,furniture.bed.simple,Simple Bed,block,Furniture / Functional,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Simple Bed,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
69,VXL_BLK_Furniture_WoodenTable,furniture.table.wood,Wooden Table,block,Furniture / Decorative,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Wooden Table,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
70,VXL_BLK_Furniture_WoodenChair,furniture.chair.wood,Wooden Chair,block,Furniture / Decorative,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Wooden Chair,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
71,VXL_BLK_Furniture_Bookshelf,furniture.bookshelf.basic,Bookshelf,block,Furniture / Functional,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Bookshelf,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
72,VXL_BLK_Road_DirtPath,road.path.dirt,Dirt Path,block,Road / Movement,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Dirt Path,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
73,VXL_MCH_Functional_Sawmill,functional.sawmill.basic,Sawmill,block,Functional / Processing,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Sawmill,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
74,VXL_MCH_Functional_ForgeAndAnvil,functional.forge.anvil,Forge and Anvil,block,Functional / Smithing,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Forge and Anvil,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
75,VXL_MCH_Functional_Loom,functional.loom.basic,Loom,block,Functional / Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Loom,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
76,VXL_MCH_Functional_AlchemyTable,functional.alchemy_table.basic,Alchemy Table,block,Functional / Magic Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Alchemy Table,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
77,VXL_BLK_Magic_EnchantingStation,magic.enchanting_station.basic,Enchanting Station,block,Magic / Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Enchanting Station,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
78,VXL_MCH_Automation_MachineAssembler,automation.assembler.basic,Machine Assembler,block,Automation / Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Machine Assembler,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
79,VXL_MCH_Functional_ResearchDesk,functional.research_desk.basic,Research Desk,block,Functional / Research,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Research Desk,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
80,VXL_BLK_Storage_WoodenCrate,storage.crate.wood,Wooden Crate,block,Storage,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Wooden Crate,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
81,VXL_BLK_Storage_WoodenBarrel,storage.barrel.wood,Wooden Barrel,block,Storage / Fluid or Food,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Wooden Barrel,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
82,VXL_BLK_Storage_GrainSilo,storage.silo.basic,Grain Silo,block,Storage / Village Food,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Grain Silo,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
83,VXL_BLK_Storage_LinkedWarehouse,storage.warehouse.linked,Linked Warehouse,block,Storage / Magic Logistics,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Linked Warehouse,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
84,VXL_MCH_Automation_CartDepot,automation.cart_depot.basic,Cart Depot,block,Automation / Logistics,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Cart Depot,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
85,VXL_MCH_Automation_ConveyorBelt,automation.conveyor.basic,Conveyor Belt,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Conveyor Belt,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Conveyor Belt archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
86,VXL_MCH_Automation_ItemPipe,automation.pipe.item_basic,Item Pipe,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Item Pipe,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Item Pipe archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
87,VXL_MCH_Automation_Splitter,automation.splitter.basic,Splitter,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Splitter,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Splitter archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
88,VXL_MCH_Automation_SorterFilter,automation.sorter.basic,Sorter / Filter,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Sorter / Filter,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Sorter/Filter archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
89,VXL_MCH_Automation_Merger,automation.merger.basic,Merger,block,Automation / Logistics,SYSTEM CANDIDATE / REBIND,Merger,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Merger archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
90,VXL_MCH_Automation_Crusher,automation.crusher.basic,Crusher,block,Automation / Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Crusher,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
91,VXL_MCH_Automation_Grinder,automation.grinder.basic,Grinder,block,Automation / Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Grinder,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
92,VXL_MCH_Automation_Pump,automation.pump.basic,Pump,block,Automation / Fluid,SYSTEM CANDIDATE / REBIND,Pump,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Pump archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
93,VXL_MCH_Automation_FluidPipe,automation.pipe.fluid_basic,Fluid Pipe,block,Automation / Fluid,SYSTEM CANDIDATE / REBIND,Fluid Pipe,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Fluid Pipe archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
94,VXL_BLK_Automation_WaterWheel,power.water_wheel.basic,Water Wheel,block,Automation / Power,SYSTEM CANDIDATE / REBIND,Water Wheel,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Water Wheel archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
95,VXL_BLK_Automation_Windmill,power.windmill.basic,Windmill,block,Automation / Power,SYSTEM CANDIDATE / REBIND,Windmill,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Windmill archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
96,VXL_BLK_Automation_ManualCrank,power.crank.basic,Manual Crank,block,Automation / Power,SYSTEM CANDIDATE / REBIND,Manual Crank,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Manual Crank archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
97,VXL_BLK_Automation_FuelEngine,power.engine.fuel,Fuel Engine,block,Automation / Power,SYSTEM CANDIDATE / REBIND,Fuel Engine,PROJECT ARCHITECTURE + POC,"Concept aligns with established logistics/power/automation direction; exact ID, object model and progression status remain unbound.",CANONICAL SYSTEM ARCHETYPE REBIND,Redirect/rebind legacy row to the modern Fuel Engine archetype under FCC-13B/C. Preserve old ID as migration alias where semantically exact.
98,VXL_BLK_Magic_ManaBattery,magic.battery.mana,Mana Battery,block,Magic / Power Storage,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Mana Battery,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
99,VXL_BLK_Magic_RuneEngine,magic.engine.rune,Rune Engine,block,Magic / Power,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Rune Engine,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
100,VXL_MCH_Automation_ArcaneFurnace,automation.arcane_furnace.advanced,Arcane Furnace,block,Automation / Magic Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Arcane Furnace,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
101,VXL_MCH_Automation_RuneMiner,automation.rune_miner.basic,Rune Miner,block,Automation / Magic Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Rune Miner,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
102,VXL_MCH_Automation_GolemWorkstation,automation.golem_workstation.basic,Golem Workstation,block,Automation / Labour,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Golem Workstation,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
103,VXL_MCH_Automation_FarmProcessor,automation.processor.farm,Farm Processor,block,Automation / Agriculture,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Farm Processor,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
104,VXL_MCH_Automation_PlankMaker,automation.plank_maker.basic,Plank Maker,block,Automation / Wood Processing,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Plank Maker,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
105,VXL_MCH_Automation_ArcaneAssembler,automation.assembler.arcane,Arcane Assembler,block,Automation / Magic Crafting,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Arcane Assembler,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
106,VXL_BLK_Magic_ManaCrystalBlock,magic.crystal_block.mana,Mana Crystal Block,block,Magic / Resource Block,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Mana Crystal Block,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
107,VXL_BLK_Magic_RitualAnchor,magic.ritual_anchor.basic,Ritual Anchor,block,Magic / Ritual,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Ritual Anchor,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
108,VXL_BLK_Magic_AncientPortalFrame,magic.portal_frame.ancient,Ancient Portal Frame,block,Magic / Portal,STRUCTURE / MIGRATION,archaeological or canonical portal-structure content,LOCKED FCC-12,Not a generic seventh portal material/family.,CANONICAL NON-MATERIAL REBIND,"archaeological or canonical portal-structure content. Bind to structure/state/anomaly owner, not a generic material or seventh portal."
109,VXL_BLK_Magic_CorruptedGround,magic.corruption.ground,Corrupted Ground,block,Magic / Corruption,STATE / OVERLAY,actual ground material + corruption state/overlay,LOCKED FCC-12,Corruption is state-first.,CANONICAL REBIND / GENERATED FORM / STATE,actual ground material + corruption state/overlay. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
110,VXL_BLK_Defence_RuneTrap,magic.trap.rune,Rune Trap,block,Defence / Magic Trap,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Rune Trap,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
111,VXL_BLK_Defence_SpellTurret,magic.turret.spell_basic,Spell Turret,block,Defence / Magic Machine,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Spell Turret,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
112,VXL_BLK_Magic_EnchantmentPillar,magic.pillar.enchantment,Enchantment Pillar,block,Magic / Structure,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Enchantment Pillar,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
113,VXL_BLK_Magic_WardObelisk,magic.obelisk.ward,Ward Obelisk,block,Magic / Village Defence,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Ward Obelisk,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
114,VXL_BLK_Village_BlueprintMarker,village.blueprint_marker.basic,Blueprint Marker,block,Village / Construction,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Blueprint Marker,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
115,VXL_BLK_Village_ScaffoldBlock,village.scaffold.wood,Scaffold Block,block,Village / Construction,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Scaffold Block,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
116,VXL_BLK_Village_ConstructionSupplyCrate,village.supply_crate.construction,Construction Supply Crate,block,Village / Construction Storage,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Construction Supply Crate,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
117,VXL_BLK_Village_JobsiteMarker,village.job_marker.basic,Job-Site Marker,block,Village / NPC Logic,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Job-Site Marker,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
118,VXL_BLK_Village_RepairMarker,village.repair_marker.basic,Repair Marker,block,Village / Repair,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Repair Marker,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
119,VXL_BLK_Village_MarketStall,village.market_stall.basic,Market Stall,block,Village / Trade,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Market Stall,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
120,VXL_BLK_Defence_VillageAlarmBell,village.bell.alarm,Village Alarm Bell,block,Defence / Alert,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Village Alarm Bell,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
121,VXL_BLK_Village_VillageShrine,village.shrine.basic,Village Shrine,block,Village / Culture Magic,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Village Shrine,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
122,VXL_BLK_Defence_StoneDefensiveWall,defence.wall.stone,Stone Defensive Wall,block,Defence / Wall,PROVIDER/FORM REBIND,actual stone/provider + authored construction form,LOCKED FCC-12,Generic stone must resolve through actual material/provider semantics.,CANONICAL REBIND / GENERATED FORM / STATE,actual stone/provider + authored construction form. Use FCC-13A/B identity/projection rules; old POC ID becomes migration alias where safe.
123,VXL_BLK_Defence_IronGate,defence.gate.iron,Iron Gate,block,Defence / Gate,SYSTEM/OBJECT CANDIDATE — DEFER EXACT,Iron Gate,POC EVIDENCE,"Concept may remain useful, but current source set does not prove this exact POC Block/ID is canonical. Re-evaluate in FCC-13B/C.",POC-ONLY / NOT PROMOTED,FCC-13 does not have sufficient locked owner support for this exact POC object. Exclude from normal canonical worldgen/crafting. Preserve as leyforge_test when useful; use leyforge_compat for old-save instances; an owning system may later author a new canonical object through normal governance.
